Station,Quarter,DO,Temperature,pH,Salinity,NH3,PO4,BOD5,TSS,Coliform,Alkalinity,Transparency,H2S,COD,CN,As,Cd,Pb,Cu,Hg,Zn,Total_Cr,Alkalinity_source,Transparency_source
DM5,1993-04-01,5.7,24.3,8.0,27.2,0.001,0.038,0.3,10.0,380.0,195.79325082722949,41.02647545273058,0.026942893370633034,48.39302481373557,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,1993-07-01,5.4,28.65,8.2,21.75,0.0045000000000000005,0.0575,0.6,12.0,311.5,156.91172199705613,37.703388913393184,0.02243898661368278,120.87585868253483,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,1993-10-01,7.25,22.299999999999997,8.2,29.85,0.007,0.0345,0.4,12.5,625.0,155.8670939298605,38.831516035451706,0.06,103.28011887198005,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,1994-01-01,8.1,17.766666666666666,8.133333333333333,31.200000000000003,0.007666666666666666,0.033999999999999996,1.2,16.166666666666668,180.0,160.90031274956834,33.481070533690676,0.03450811139182965,39.31829319317381,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,1994-04-01,5.866666666666667,25.46666666666667,8.066666666666666,20.4,0.004666666666666667,0.021666666666666667,0.7999999999999999,6.333333333333333,229.0,85.04126957330827,37.6252784690342,0.03838190361669961,80.697435038302,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,1994-07-01,5.6,28.266666666666666,7.766666666666667,15.066666666666668,0.002,0.027333333333333334,0.3333333333333333,17.333333333333332,600.0,77.21723847544663,31.81554331609149,0.022337924296797294,108.67512008587646,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,1994-10-01,6.2,24.166666666666668,8.033333333333333,29.066666666666666,0.005333333333333333,0.045000000000000005,0.3,21.0,423.3333333333333,81.25953979630802,26.788752619086015,0.030741847882446105,81.28047186664507,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,1995-01-01,7.1000000000000005,16.833333333333332,8.133333333333333,25.549999999999997,0.007,0.037333333333333336,0.6,24.333333333333332,2393.3333333333335,166.70771466682433,24.012404190390395,0.03899083940539596,135.54614895316385,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,1995-04-01,8.399999999999999,23.0,8.05,25.5,0.009,0.027499999999999997,1.25,10.25,595.0,100.84828738911281,20.0,0.02466995561706317,62.83289869411241,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,1995-07-01,4.7,27.0,7.966666666666666,22.900000000000002,0.0030000000000000005,0.039,0.5333333333333333,8.566666666666666,1733.3333333333333,76.20253362162495,31.168269979322417,0.042921373941064496,21.32975998145736,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,1995-10-01,7.733333333333333,22.866666666666664,8.066666666666668,29.833333333333332,0.004333333333333334,0.033999999999999996,0.6,9.666666666666666,363.3333333333333,104.91513299230654,54.94335589583589,0.030120887470415553,81.67064691490721,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,1996-01-01,6.0,17.7,8.266666666666667,33.36666666666667,0.007,0.029333333333333336,0.4666666666666666,8.6,5566.666666666667,111.64880638998804,42.23163353098018,0.033692790156711706,81.39746851273856,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,1996-04-01,6.8999999999999995,23.46666666666667,8.1,25.3,0.007333333333333333,0.03,0.6666666666666666,8.433333333333334,290.0,129.39446457930967,35.71929485504874,0.030109221731852355,87.45746607584876,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,1996-07-01,5.533333333333334,27.3,7.766666666666667,17.966666666666665,0.0013333333333333333,0.03333333333333333,0.3,10.700000000000001,1546.6666666666667,128.7832857249215,25.92164675825161,0.06,135.48196121355258,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,1996-10-01,6.033333333333334,25.0,7.966666666666666,30.166666666666668,0.005333333333333333,0.044000000000000004,0.2333333333333333,7.3999999999999995,1170.0,91.01368026442722,46.167098414557096,0.03727024791758336,25.182396798649375,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,1997-01-01,7.3999999999999995,19.033333333333335,8.133333333333333,30.2,0.01,0.035666666666666666,0.6333333333333333,7.533333333333334,510.0,143.9979737379799,31.817082251195682,0.025518992312414373,64.64004966966635,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,1997-04-01,7.7,24.099999999999998,7.633333333333333,22.266666666666666,0.0033333333333333335,0.029333333333333333,1.0,5.566666666666666,386.6666666666667,97.62822631874447,55.970448969216015,0.050473918540838984,44.368874800311005,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,1997-07-01,6.0,26.266666666666666,7.433333333333334,25.2,0.0026666666666666666,0.034999999999999996,0.3333333333333333,16.666666666666668,1226.6666666666667,114.5303282153235,23.872019707864695,0.02405274425919463,37.923966986380535,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,1997-10-01,5.533333333333334,24.600000000000005,8.033333333333333,29.366666666666664,0.006999999999999999,0.036,0.3333333333333333,10.933333333333332,1046.6666666666667,144.0370924676174,25.7840531522566,0.040400950766878614,70.82666472746438,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,1998-01-01,7.233333333333334,18.46666666666667,8.133333333333333,30.833333333333332,0.009,0.037,0.4666666666666666,17.433333333333334,403.3333333333333,97.53625086194805,24.961098706871546,0.018398170012252645,108.41886623870869,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,1998-04-01,6.2,23.933333333333334,7.666666666666667,28.03333333333333,0.0023333333333333335,0.028,0.7000000000000001,3.6666666666666665,1663.3333333333333,100.07270017466018,20.1998503164094,0.02313420594473377,86.96629525004273,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,1998-07-01,5.266666666666667,28.166666666666668,8.133333333333333,16.599999999999998,0.004,0.024000000000000004,0.9,25.833333333333332,529.3333333333334,140.70838173925958,24.22511240182622,0.04022544067689367,50.494411542213136,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,1998-10-01,4.633333333333333,24.866666666666664,7.8999999999999995,30.96666666666667,0.005666666666666667,0.035,0.7999999999999999,15.833333333333334,1636.6666666666667,89.97933881882432,34.26718040439421,0.048957796051427444,68.03284615540313,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,1999-01-01,7.3999999999999995,19.633333333333336,8.0,30.366666666666664,0.006333333333333333,0.03366666666666667,1.1666666666666667,5.3,400.0,106.53227917385753,26.110755737471937,0.039855183518835394,122.9088525568535,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,1999-04-01,5.066666666666666,24.46666666666667,7.966666666666666,29.566666666666666,0.004333333333333334,0.032,0.7333333333333334,4.633333333333334,3586.6666666666665,139.45097623150124,20.0,0.03591451915096059,107.30991874961781,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,1999-07-01,3.6999999999999997,27.233333333333334,7.666666666666667,22.766666666666666,0.001,0.03233333333333333,0.8666666666666667,22.266666666666666,3906.6666666666665,191.8932354502591,47.36650714632319,0.033577982183916895,54.37891532129135,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,1999-10-01,6.1000000000000005,24.066666666666666,7.966666666666666,29.53333333333333,0.0036666666666666666,0.03866666666666667,0.7000000000000001,9.666666666666666,1536.6666666666667,141.18915766669613,20.0,0.021906431251761265,52.47710574215808,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2000-01-01,7.533333333333334,16.9,8.166666666666666,29.833333333333332,0.006000000000000001,0.03333333333333333,1.0666666666666667,3.566666666666667,776.6666666666666,136.5423917046504,40.294416344954804,0.028846218395689523,28.672363416406036,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2000-04-01,5.433333333333334,24.2,8.200000000000001,26.96666666666667,0.010333333333333335,0.038,0.7333333333333334,3.5666666666666664,520.0,138.57805542854553,33.45443662022518,0.0316900158977488,58.19641567668944,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2000-07-01,5.3999999999999995,27.433333333333334,8.033333333333333,25.333333333333332,0.009333333333333332,0.043666666666666666,1.0,6.0,1783.3333333333333,82.43834040765327,67.06484255075881,0.054956723832741756,28.36954152856223,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2000-10-01,6.566666666666666,20.233333333333334,8.066666666666668,30.900000000000002,0.005666666666666667,0.04066666666666666,0.6333333333333333,24.666666666666668,2800.0,124.04588585379678,46.161223358040715,0.042424817218395555,220.0,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2001-01-01,5.433333333333334,18.2,7.833333333333333,30.0,0.006000000000000001,0.043000000000000003,0.8333333333333334,26.900000000000002,876.6666666666666,118.95817290822593,27.981820711839553,0.019758340145359005,46.04803145163981,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2001-04-01,6.033333333333334,24.73333333333333,7.766666666666667,22.733333333333334,0.007,0.04533333333333334,0.9666666666666667,13.366666666666667,2610.0,131.25545891304645,26.1991486394472,0.04212526712161184,135.63120446046233,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2001-07-01,4.766666666666667,28.266666666666666,7.266666666666667,20.566666666666666,0.002,0.035666666666666666,1.2666666666666666,8.6,1566.6666666666667,124.07778183665548,54.63921674328707,0.03257055389322884,200.3284790096713,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2001-10-01,6.566666666666666,22.46666666666667,7.933333333333334,31.400000000000002,0.0023333333333333335,0.021666666666666667,0.9833333333333334,54.76666666666667,1833.3333333333333,133.28948870959894,20.241964230125546,0.029298850240011172,83.00582405651059,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2002-01-01,7.166666666666667,18.900000000000002,7.8999999999999995,29.5,0.007,0.018666666666666668,1.2333333333333334,9.933333333333334,1660.0,109.09864817852795,35.28341562936022,0.046757160135770984,69.75521319023942,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2002-04-01,5.566666666666666,25.933333333333334,7.333333333333333,25.866666666666664,0.002,0.026333333333333334,0.8333333333333334,8.833333333333334,580.0,122.05131210801275,31.692047004762983,0.05443843492689601,35.61258580292631,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2002-07-01,4.7,26.53333333333333,7.533333333333334,21.366666666666664,0.0030000000000000005,0.030666666666666665,1.0,10.333333333333334,1449.6666666666667,77.02600018800527,29.528467612609457,0.05250449344260803,55.83885387560726,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2002-10-01,6.866666666666667,22.53333333333333,8.066666666666666,31.433333333333334,0.006999999999999999,0.030333333333333334,1.1333333333333335,11.6,2283.3333333333335,108.80324526989801,37.2492334190077,0.027623809943044808,178.07072027942473,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2003-01-01,7.099999999999999,18.433333333333334,8.066666666666666,29.333333333333332,0.011333333333333334,0.036,1.5333333333333334,9.933333333333332,770.0,168.67917418618254,35.267891458378145,0.03347936441749193,89.40610301998875,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2003-04-01,4.433333333333334,25.666666666666668,8.033333333333333,26.599999999999998,0.011333333333333334,0.04466666666666667,0.9,8.9,986.6666666666666,131.15829188698896,38.56189989983755,0.04223511435562586,74.85788984806916,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2003-07-01,4.433333333333334,28.633333333333336,7.8,23.733333333333334,0.002,0.043000000000000003,1.4000000000000001,6.266666666666667,1026.6666666666667,119.26776369159231,34.67813550468408,0.053354333560459925,151.66403296203987,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2003-10-01,5.333333333333333,24.600000000000005,8.366666666666667,32.06666666666667,0.011333333333333334,0.03266666666666667,0.7333333333333334,17.099999999999998,3133.3333333333335,186.36431466890213,38.05464896276715,0.031477664191189254,108.08952313202545,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2004-01-01,6.733333333333333,18.0,8.233333333333333,32.199999999999996,0.019666666666666666,0.036,0.9333333333333335,14.366666666666667,903.3333333333334,72.37077575946223,34.15482775692582,0.035013942833569844,67.94304418707017,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2004-04-01,5.533333333333334,25.46666666666667,7.933333333333334,27.03333333333333,0.010333333333333333,0.042666666666666665,0.5333333333333333,7.633333333333333,1983.3333333333333,81.16905555938231,26.574203952819605,0.025072844051114145,83.0083088672415,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2004-07-01,5.033333333333333,28.166666666666668,8.266666666666667,24.03333333333333,0.012666666666666668,0.043666666666666666,0.7666666666666666,5.033333333333334,2166.6666666666665,179.94489939466953,33.152301309951135,0.024268659783324043,48.30640832591337,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2004-10-01,4.866666666666666,24.0,8.266666666666667,30.833333333333332,0.015,0.041666666666666664,0.8666666666666667,11.333333333333334,2000.0,121.60863276171268,26.091738230318526,0.05029081561452409,54.13211564154473,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2005-01-01,6.3999999999999995,16.900000000000002,8.233333333333334,31.133333333333336,0.015333333333333332,0.03766666666666666,0.5666666666666667,12.333333333333334,1366.6666666666667,111.50959372985722,25.52400060536056,0.06,65.79446747753418,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2005-04-01,5.5,24.7,7.966666666666666,19.866666666666664,0.016333333333333335,0.052,0.8333333333333334,17.033333333333335,2400.0,78.02784862165248,29.59820726010308,0.036487535742914634,100.14399340283234,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2005-07-01,6.466666666666666,28.366666666666664,8.0,22.2,0.009333333333333334,0.04733333333333334,1.2666666666666666,9.700000000000001,1340.6666666666667,135.6693693238254,31.815874671818552,0.05389875260670426,37.11237103171085,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2005-10-01,6.133333333333333,25.46666666666667,7.866666666666667,31.3,0.006666666666666667,0.04066666666666666,0.7333333333333334,6.566666666666666,1533.3333333333333,139.05609543346117,33.49919771440878,0.042702999259425924,76.85589552395089,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2006-01-01,7.033333333333334,19.233333333333334,7.666666666666667,29.866666666666664,0.007333333333333333,0.050666666666666665,0.8333333333333334,10.433333333333334,2800.0,81.69269737077863,44.93770141032664,0.02963879211546368,59.476174986401354,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2006-04-01,5.733333333333333,25.233333333333334,7.666666666666667,24.8,0.006333333333333333,0.024000000000000004,0.7333333333333334,5.433333333333334,536.6666666666666,115.09035450573501,28.039160995036763,0.042699275358375435,44.90229602448571,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2006-07-01,4.3,27.96666666666667,7.566666666666667,19.233333333333334,0.006666666666666667,0.053,1.0666666666666667,2.9333333333333336,583.3333333333334,108.25694587884269,35.353732047802325,0.06,59.652117566993155,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2006-10-01,6.033333333333334,25.133333333333336,7.666666666666667,30.933333333333334,0.005,0.04033333333333333,0.7666666666666666,7.933333333333334,2633.3333333333335,128.959200124657,34.43680286261226,0.03696959924358036,20.55754866910554,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2007-01-01,7.633333333333333,18.633333333333333,7.933333333333334,31.76666666666667,0.009666666666666665,0.03,1.5333333333333334,6.8,1933.3333333333333,80.82624152227746,27.02807158059895,0.06,48.58555328878979,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2007-04-01,8.700000000000001,26.366666666666664,8.133333333333333,20.766666666666666,0.008666666666666668,0.02666666666666667,2.2666666666666666,9.166666666666666,491.0,163.8181609079605,33.932105622361455,0.01448073578051557,40.25693208936834,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2007-07-01,4.6000000000000005,28.166666666666668,7.566666666666666,20.133333333333333,0.006999999999999999,0.055,0.6333333333333333,5.966666666666666,200.0,152.05383235591614,46.25001012164801,0.050462158302865365,63.183688631612874,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2007-10-01,6.633333333333333,24.400000000000002,7.433333333333334,30.133333333333336,0.0023333333333333335,0.04866666666666667,0.6333333333333333,6.566666666666666,390.0,107.28885544435144,35.23200658469876,0.03865461816997143,21.03348301738866,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2008-01-01,7.0,18.066666666666666,7.633333333333333,29.400000000000002,0.007333333333333333,0.044000000000000004,0.39999999999999997,5.5,1066.6666666666667,112.42534509265701,35.705898652960556,0.0336035251566599,81.85840684520987,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2008-04-01,5.8,25.3,7.8999999999999995,24.833333333333332,0.008333333333333333,0.028999999999999998,1.0999999999999999,5.5,713.3333333333334,115.22522474028344,26.170649097775723,0.03872076733363577,121.532633236181,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2008-07-01,5.233333333333333,28.53333333333333,7.766666666666667,19.033333333333335,0.006333333333333333,0.036333333333333336,0.5333333333333333,4.8,333.3333333333333,92.75920064477238,63.825252974857314,0.018212922113074893,69.09531963546043,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2008-10-01,6.8,23.53333333333333,8.0,29.633333333333336,0.006333333333333333,0.028333333333333335,0.5333333333333333,9.366666666666667,1003.3333333333334,104.47997036177375,26.672461164964815,0.034584606721186496,96.96358836706283,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2009-01-01,7.166666666666667,19.03333333333333,7.866666666666667,30.2,0.004,0.023999999999999997,0.6166666666666667,13.4,1293.3333333333333,110.54053713138869,20.0,0.04263298907954632,55.58971454685774,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2009-04-01,5.733333333333333,26.099999999999998,7.933333333333334,24.400000000000002,0.011666666666666667,0.04,0.9,6.3,770.0,176.4503929747495,44.10367615828272,0.06,31.34197902663782,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2009-07-01,5.966666666666666,29.7,7.833333333333333,21.399999999999995,0.004666666666666667,0.04800000000000001,0.9,7.8999999999999995,443.6666666666667,153.13164079156527,31.86476774324847,0.03103441524635488,73.76838311290966,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2009-10-01,6.633333333333333,24.099999999999998,8.0,31.133333333333336,0.0030000000000000005,0.03766666666666666,0.6,10.299999999999999,810.0,152.71291475678183,29.92670645946069,0.027933388884147675,107.14768402302732,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2010-01-01,6.8999999999999995,19.23333333333333,7.8,27.766666666666666,0.006333333333333333,0.041,0.6,5.466666666666666,493.3333333333333,132.94739645515367,27.602422887460687,0.031220866115208776,35.572986047394494,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2010-04-01,6.166666666666667,25.066666666666666,7.733333333333333,24.2,0.006666666666666667,0.042666666666666665,0.9666666666666668,4.5,395.0,80.89355468740679,61.79134782248255,0.05220296298967986,57.061235490055054,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2010-07-01,4.366666666666667,28.73333333333333,7.8,21.7,0.005333333333333333,0.04533333333333334,0.9333333333333332,4.066666666666666,216.66666666666666,118.54781133979172,37.26260124714635,0.042196642778605326,64.33385310153247,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2010-10-01,5.866666666666667,24.133333333333336,7.866666666666667,28.96666666666667,0.005666666666666667,0.037,0.5666666666666667,6.3,643.3333333333334,153.9670960864683,39.76758738170868,0.03090533872213353,220.0,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2011-01-01,8.1,17.066666666666666,7.833333333333333,31.166666666666668,0.0030000000000000005,0.018666666666666668,0.7833333333333333,11.466666666666667,636.6666666666666,75.96073797214493,34.952513803803775,0.045117541128860024,83.33379399309017,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2011-04-01,5.466666666666666,25.2,7.8,26.666666666666668,0.007333333333333333,0.026333333333333334,1.4333333333333333,13.666666666666666,466.6666666666667,142.27936224056424,36.22705911509229,0.03879551537909738,25.840280435561606,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2011-07-01,4.8,28.400000000000002,7.733333333333333,21.7,0.0036666666666666666,0.04033333333333333,0.8333333333333334,6.666666666666667,656.6666666666666,200.0,52.77546435832524,0.05322095902212686,22.554441390084055,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2011-10-01,6.166666666666667,23.933333333333334,7.833333333333333,31.400000000000002,0.0023333333333333335,0.03233333333333333,0.4666666666666666,10.4,2030.0,157.16358260964063,30.45192566128584,0.029032978056070927,110.14243112620424,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2012-01-01,7.3,16.833333333333332,7.533333333333334,29.866666666666664,0.0016666666666666668,0.034333333333333334,0.25,12.333333333333334,486.6666666666667,169.49101974466956,20.37013550621606,0.033256056207780445,220.0,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2012-04-01,7.166666666666667,26.633333333333336,7.5,19.666666666666668,0.004,0.034666666666666665,0.6666666666666666,4.433333333333334,860.0,127.64185626547562,44.21954948912881,0.032487652646086024,63.14691738734653,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2012-07-01,5.766666666666667,29.100000000000005,7.633333333333333,17.2,0.0030000000000000005,0.042666666666666665,0.6666666666666666,7.866666666666667,513.3333333333334,153.87761820677463,39.07046126001068,0.022026005665705447,61.102282628062675,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2012-10-01,5.866666666666667,24.53333333333333,7.7,28.400000000000002,0.0030000000000000005,0.030666666666666665,0.3666666666666667,8.433333333333334,1290.0,94.87513749760876,34.32164181496126,0.041700133586357345,93.40321784177017,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2013-01-01,7.333333333333333,19.46666666666667,7.733333333333333,30.133333333333336,0.0036666666666666666,0.016666666666666666,1.3499999999999999,4.6000000000000005,1156.6666666666667,147.85523343194293,38.73393717397257,0.04117309641190447,47.509846077891055,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2013-04-01,5.966666666666666,24.23333333333333,7.7,23.333333333333332,0.006999999999999999,0.03333333333333333,0.39999999999999997,4.133333333333333,583.3333333333334,142.9035846921267,29.25881525639607,0.037522700730668844,18.18714378006743,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2013-07-01,4.866666666666666,28.2,7.8999999999999995,18.766666666666666,0.007666666666666666,0.045000000000000005,0.8666666666666667,3.9333333333333336,843.3333333333334,130.1468910913182,33.33729116875639,0.03439799974212252,130.38549571173343,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2013-10-01,5.8999999999999995,24.5,8.066666666666666,28.666666666666668,0.006999999999999999,0.036333333333333336,0.5,7.433333333333334,1400.0,166.06025969014743,31.685921891664286,0.02241403663652473,52.60177315670439,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2014-01-01,6.833333333333333,17.166666666666668,7.8999999999999995,31.133333333333336,0.005333333333333333,0.027999999999999997,0.5666666666666667,10.633333333333333,623.3333333333334,101.14253067534139,27.182954187549893,0.03215309395427047,131.31051031509423,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,2014-04-01,5.333333333333333,23.833333333333332,7.8,24.03333333333333,0.007333333333333333,0.03133333333333333,0.6666666666666666,4.333333333333333,480.0,113.4529869234218,49.2160669675354,0.03307497246131394,48.494833443414144,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
