Vị trí quan trắc,KHM,Quý,Nhiệt độ,pH,DO,Độ muối,Độ đục,Độ trong,TSS,Amoni,Phosphat,Tổng xianua,Florua,"Tổng dầu, mỡ khoáng",Coliform,As,Hg,Pb,Cd,Fe,Mn,Cu,Zn,Cr,Cr(VI),Tổng phenol,Aldrin,BHC,Dieldrin,DDTs,Heptachlor & Heptachloreproxide
Cảng B12- vịnh Cửa Lục,NB2,Quý 2 2022,23.4,8.06,6.11,29.2,9.25,1.3,8.1,0.015,0.01,0.0005,0.673,0.15,1.5,0.0026,0.00025,0.00045,0.0001,0.0792,0.0064,0.00045,0.0096,0.00045,0.0025,0.002,x,x,x,x,x
Cảng B12- vịnh Cửa Lục,NB2,Quý 3 2022,28.9,8.03,6.15,29.0,9.45,1.2,8.3,0.015,0.01,0.0005,0.648,0.15,1.5,0.0022,0.00025,0.00045,0.0001,0.0617,0.0053,0.00045,0.0114,0.00045,0.0025,0.002,x,x,x,x,x
Cảng B12- vịnh Cửa Lục,NB2,Quý 4 2022,26.5,8.01,6.11,28.8,8.68,1.0,7.6,0.015,0.01,0.0005,0.759,0.15,1.5,0.0021,0.00025,0.00045,0.0001,0.0572,0.0096,0.00045,0.0103,0.00045,0.0025,0.002,x,x,x,x,x
Cảng B12- vịnh Cửa Lục,NB2,Quý 1 2023,22.8,8.03,6.12,29.2,9.14,1.3,8.9,0.015,0.01,0.0005,0.776,0.15,1.5,0.0023,0.00025,0.00045,0.0001,0.0874,0.0083,0.00045,0.0094,0.00045,0.0025,0.002,x,x,x,x,x
Cảng B12- vịnh Cửa Lục,NB2,Quý 2 2023,24.7,8.03,6.05,29.0,9.84,1.1,7.9,0.036,0.01,0.0005,0.751,0.15,1.5,0.0024,0.00025,0.00045,0.0001,0.0938,0.0081,0.00045,0.0083,0.00045,0.0025,0.002,x,x,x,x,x
Cảng B12- vịnh Cửa Lục,NB2,Quý 3 2023,27.4,8.06,6.07,28.9,9.58,1.1,7.6,0.015,0.01,0.0005,0.779,0.15,1.5,0.0015,0.00025,0.00045,0.0001,0.0713,0.0066,0.00045,0.0109,0.00045,0.0025,0.002,x,x,x,x,x
Cảng B12- vịnh Cửa Lục,NB2,Quý 4 2023,25.0,8.07,6.11,29.0,9.48,1.2,8.5,0.015,0.01,0.0005,0.823,0.15,1.5,0.0021,0.00025,0.00045,0.0001,0.0884,0.0112,0.00045,0.0093,0.00045,0.0025,0.002,x,x,x,x,x
Cảng B12- vịnh Cửa Lục,NB2,Quý 1 2024,20.2,8.01,6.14,29.1,9.2,1.2,8.4,0.034,0.01,0.0015,0.768,0.15,1.0,0.0018,0.0001,0.0001,0.0001,0.1142,0.0147,0.0005,0.0089,0.0008,0.0035,0.0002,x,x,x,x,x
Cảng B12- vịnh Cửa Lục,NB2,Quý 2 2024,24.5,8.02,6.12,28.9,9.71,1.0,8.2,0.046,0.01,0.0015,0.836,0.15,1.0,0.0016,0.0001,0.0001,0.0001,0.0913,0.0119,0.0005,0.0072,0.0009,0.0035,0.0002,x,x,x,x,x
Cảng B12- vịnh Cửa Lục,NB2,Quý 3 2024,26.7,8.06,6.18,28.9,9.78,1.0,7.2,0.01,0.049,0.0015,0.794,0.15,1.0,0.0017,0.0001,0.0001,0.0001,0.1567,0.0183,0.00015,0.0127,0.0001,0.0035,0.0002,x,x,x,x,x
Cảng B12- vịnh Cửa Lục,NB2,Quý 4 2024,24.8,8.05,6.04,29.1,9.34,1.4,8.2,0.01,0.01,0.0015,0.826,0.15,1.0,0.002,0.0001,0.0001,0.0001,0.133,0.0149,0.0023,0.0416,0.0003,0.0035,0.0002,x,x,x,x,x
Cảng Cái Lân- vịnh Cửa Lục,NB3,Quý 1 2021,22.5,8.09,6.31,29.4,12.3,0.9,11.6,0.015,0.01,0.0005,0.675,0.15,1.5,0.0009,0.00025,0.0015,0.0001,0.0332,0.0004,0.00045,0.0087,0.0015,0.0025,0.002,x,x,x,x,x
Cảng Cái Lân- vịnh Cửa Lục,NB3,Quý 2 2021,31.1,8.09,5.28,29.4,10.86,1.3,9.3,0.015,0.01,0.0005,0.79,0.15,1.5,0.004,0.00025,0.00045,0.0001,0.0913,0.0033,0.0013,0.0063,0.0012,0.0025,0.002,x,x,x,x,x
Cảng Cái Lân- vịnh Cửa Lục,NB3,Quý 3 2021,31.9,8.05,6.03,27.5,11.4,1.1,10.5,0.015,0.01,0.0005,0.75,0.15,1.5,0.0027,0.00025,0.00045,0.0001,0.0852,0.0027,0.00045,0.0104,0.0009,0.0025,0.002,x,x,x,x,x
Cảng Cái Lân- vịnh Cửa Lục,NB3,Quý 4 2021,25.1,8.06,6.08,29.4,7.31,1.1,6.2,0.015,0.01,0.0005,0.827,0.15,1.5,0.0029,0.00025,0.00045,0.0001,0.065,0.0027,0.00045,0.0076,0.00045,0.0025,0.002,x,x,x,x,x
Cảng Cái Lân- vịnh Cửa Lục,NB3,Quý 1 2022,22.6,8.04,6.14,29.3,7.21,1.4,6.9,0.015,0.01,0.0005,0.634,0.15,1.5,0.001,0.00025,0.00045,0.0001,0.0208,0.0004,0.00045,0.0078,0.00045,0.0025,0.002,x,x,x,x,x
Cảng Cái Lân- vịnh Cửa Lục,NB3,Quý 2 2022,23.7,8.03,6.17,29.2,7.46,1.1,6.3,0.015,0.01,0.0005,0.667,0.15,1.5,0.0033,0.00025,0.00045,0.0001,0.0558,0.0044,0.00045,0.0057,0.00045,0.0025,0.002,x,x,x,x,x
Cảng Cái Lân- vịnh Cửa Lục,NB3,Quý 3 2022,29.2,8.01,6.22,29.1,7.78,1.0,6.4,0.015,0.01,0.0005,0.628,0.15,1.5,0.0028,0.00025,0.00045,0.0001,0.0485,0.0029,0.00045,0.0089,0.00045,0.0025,0.002,x,x,x,x,x
Cảng Cái Lân- vịnh Cửa Lục,NB3,Quý 4 2022,26.4,8.03,6.16,29.0,8.92,1.0,8.2,0.015,0.01,0.0005,0.715,0.15,1.5,0.0028,0.00025,0.00045,0.0001,0.0396,0.007,0.00045,0.0086,0.00045,0.0025,0.002,x,x,x,x,x
Cảng Cái Lân- vịnh Cửa Lục,NB3,Quý 1 2023,23.0,8.06,6.05,29.4,7.21,1.2,6.3,0.032,0.01,0.0005,0.731,0.15,1.5,0.0025,0.00025,0.00045,0.0001,0.0451,0.0059,0.00045,0.0081,0.00045,0.0025,0.002,x,x,x,x,x
Cảng Cái Lân- vịnh Cửa Lục,NB3,Quý 2 2023,25.4,8,6.11,29.1,7.76,1.0,8.7,0.015,0.01,0.0005,0.77,0.15,1.5,0.0028,0.00025,0.00045,0.0001,0.0621,0.0057,0.00045,0.0066,0.00045,0.0025,0.002,x,x,x,x,x
Cảng Cái Lân- vịnh Cửa Lục,NB3,Quý 3 2023,28.0,8.04,6.16,29.0,7.89,1.0,6.1,0.036,0.01,0.0005,0.838,0.15,1.5,0.0022,0.00025,0.00045,0.0001,0.0561,0.0036,0.00045,0.0085,0.00045,0.0025,0.002,x,x,x,x,x
Cảng Cái Lân- vịnh Cửa Lục,NB3,Quý 4 2023,25.3,8.06,6.19,29.1,7.73,1.0,6.2,0.044,0.01,0.0005,0.842,0.15,1.5,0.0023,0.00025,0.00045,0.0001,0.0936,0.0076,0.00045,0.0075,0.00045,0.0025,0.002,x,x,x,x,x
Cảng Cái Lân- vịnh Cửa Lục,NB3,Quý 1 2024,19.9,8.05,6.07,29.3,7.33,1.1,6.3,0.041,0.01,0.0015,0.717,0.15,1.0,0.002,0.0001,0.0001,0.0001,0.1209,0.0107,0.0005,0.0072,0.0006,0.0035,0.0002,x,x,x,x,x
Cảng Cái Lân- vịnh Cửa Lục,NB3,Quý 2 2024,25.1,8.02,6.03,29.0,7.61,1.0,6.3,0.036,0.01,0.0015,0.816,0.15,1.0,0.0013,0.0001,0.0001,0.0001,0.0854,0.008,0.0005,0.0063,0.0004,0.0035,0.0002,x,x,x,x,x
Cảng Cái Lân- vịnh Cửa Lục,NB3,Quý 3 2024,26.3,8.07,6.24,29.0,7.89,0.9,5.5,0.032,0.01,0.0015,0.839,0.15,1.0,0.0022,0.0001,0.0001,0.0001,0.1856,0.043,0.00015,0.0269,0.0001,0.0035,0.0002,x,x,x,x,x
Cảng Cái Lân- vịnh Cửa Lục,NB3,Quý 4 2024,24.2,8.02,6.12,29.2,7.52,1.2,5.4,0.037,0.01,0.0015,0.845,0.15,1.0,0.0014,0.0001,0.0001,0.0001,0.1569,0.0251,0.0082,0.0459,0.0004,0.0035,0.0002,x,x,x,x,x
Khu Hòn Gạc- vịnh Cửa Lục,NB4,Quý 1 2021,22.3,8.12,6.81,29.3,13.3,1.1,12.3,0.015,0.01,0.0005,0.656,0.15,1.5,0.0013,0.00025,0.00045,0.0001,0.0248,0.0004,0.00045,0.0159,0.001,0.0025,0.002,x,x,x,x,x
Khu Hòn Gạc- vịnh Cửa Lục,NB4,Quý 2 2021,31.3,8.13,6.96,29.1,9.25,1.1,8.5,0.015,0.01,0.0005,0.751,0.15,1.5,0.0036,0.00025,0.00045,0.0001,0.0619,0.003,0.00045,0.0027,0.00045,0.0025,0.002,x,x,x,x,x
Khu Hòn Gạc- vịnh Cửa Lục,NB4,Quý 3 2021,31.5,8.09,6.19,27.7,9.84,1.0,8.7,0.034,0.01,0.0005,0.658,0.15,1.5,0.0022,0.00025,0.00045,0.0001,0.0746,0.0019,0.00045,0.0053,0.00045,0.0025,0.002,x,x,x,x,x
Khu Hòn Gạc- vịnh Cửa Lục,NB4,Quý 4 2021,25.4,8.16,6.19,29.0,10.45,0.7,9.7,0.015,0.01,0.0005,0.767,0.15,1.5,0.0026,0.00025,0.00045,0.0001,0.044,0.0024,0.00045,0.0033,0.00045,0.0025,0.002,x,x,x,x,x
Khu Hòn Gạc- vịnh Cửa Lục,NB4,Quý 1 2022,22.8,8.01,6.05,29.1,10.85,0.8,9.5,0.015,0.01,0.0005,0.731,0.15,1.5,0.0014,0.00025,0.00045,0.0001,0.0192,0.0004,0.00045,0.0126,0.00045,0.0025,0.002,x,x,x,x,x
Khu Hòn Gạc- vịnh Cửa Lục,NB4,Quý 2 2022,23.9,8,6.01,29.0,11.35,0.7,10.4,0.015,0.01,0.0005,0.726,0.15,1.5,0.0024,0.00025,0.00045,0.0001,0.0895,0.0072,0.00045,0.0085,0.00045,0.0025,0.002,x,x,x,x,x
Khu Hòn Gạc- vịnh Cửa Lục,NB4,Quý 3 2022,29.4,8.05,6.06,28.9,11.68,0.5,10.7,0.047,0.01,0.0005,0.713,0.15,1.5,0.0019,0.00025,0.00045,0.0001,0.0731,0.0064,0.00045,0.0107,0.00045,0.0025,0.002,x,x,x,x,x
Khu Hòn Gạc- vịnh Cửa Lục,NB4,Quý 4 2022,26.8,8.09,6.02,28.8,11.97,0.4,10.6,0.015,0.01,0.0005,0.741,0.15,1.5,0.0018,0.00025,0.00045,0.0001,0.1128,0.0089,0.00045,0.0069,0.00045,0.0025,0.002,x,x,x,x,x
Khu Hòn Gạc- vịnh Cửa Lục,NB4,Quý 1 2023,23.3,8.03,6.12,29.0,10.85,0.9,9.2,0.015,0.01,0.0005,0.854,0.15,1.5,0.0016,0.00025,0.00045,0.0001,0.1326,0.0075,0.00045,0.0055,0.00045,0.0025,0.002,x,x,x,x,x
Khu Hòn Gạc- vịnh Cửa Lục,NB4,Quý 2 2023,25.6,8.01,6.04,28.9,11.68,0.6,6.3,0.052,0.01,0.0005,0.849,0.15,1.5,0.0022,0.00025,0.00045,0.0001,0.1109,0.0094,0.00045,0.0097,0.00045,0.0025,0.002,x,x,x,x,x
Khu Hòn Gạc- vịnh Cửa Lục,NB4,Quý 3 2023,28.2,8.02,6.11,28.8,11.82,0.6,10.2,0.063,0.01,0.0005,0.74,0.15,1.5,0.0016,0.00025,0.00045,0.0001,0.0845,0.0079,0.00045,0.0102,0.00045,0.0025,0.002,x,x,x,x,x
Khu Hòn Gạc- vịnh Cửa Lục,NB4,Quý 4 2023,25.5,8.03,6.15,28.9,11.68,0.6,9.3,0.071,0.01,0.0005,0.816,0.15,1.5,0.0018,0.00025,0.00045,0.0001,0.1252,0.0125,0.00045,0.0122,0.00045,0.0025,0.002,x,x,x,x,x
Khu Hòn Gạc- vịnh Cửa Lục,NB4,Quý 1 2024,19.8,8.04,6.06,29.1,10.74,0.9,9.2,0.056,0.01,0.0015,0.781,0.15,1.0,0.0017,0.0001,0.0001,0.0001,0.1618,0.0157,0.0005,0.0117,0.0012,0.0035,0.0002,x,x,x,x,x
Khu Hòn Gạc- vịnh Cửa Lục,NB4,Quý 2 2024,25.3,8,6.0,28.8,11.51,0.7,10.2,0.066,0.01,0.0015,0.797,0.15,1.0,0.0018,0.0001,0.0001,0.0001,0.106,0.014,0.0005,0.0087,0.001,0.0035,0.0002,x,x,x,x,x
Khu Hòn Gạc- vịnh Cửa Lục,NB4,Quý 3 2024,26.9,8.09,6.09,28.8,11.88,0.5,10.2,0.045,0.042,0.0015,0.8,0.15,1.0,0.0021,0.0001,0.0001,0.0001,0.1677,0.0409,0.00015,0.0123,0.0001,0.0035,0.0002,x,x,x,x,x
Khu Hòn Gạc- vịnh Cửa Lục,NB4,Quý 4 2024,23.9,8.06,6.02,29.0,10.28,0.7,8.2,0.048,0.01,0.0015,0.736,0.15,1.0,0.0015,0.0001,0.0001,0.0001,0.1399,0.0074,0.0018,0.0186,0.0003,0.0035,0.0002,x,x,x,x,x
Ven bờ khu đô thị CENCO 5,NB5,Quý 1 2021,22.7,8.02,6.22,28.9,10.1,0.8,9.7,0.173,0.01,0.0005,0.74,0.15,1.5,0.0012,0.00025,0.00045,0.0001,0.0186,0.0004,0.00045,0.0112,0.00045,0.0025,0.002,x,x,x,x,x
Ven bờ khu đô thị CENCO 5,NB5,Quý 2 2021,30.4,8.06,6.38,28.9,11.76,0.9,10.6,0.221,0.021,0.0005,0.764,0.15,1.5,0.0037,0.00025,0.00045,0.0001,0.0344,0.0036,0.0014,0.0068,0.0026,0.0025,0.002,x,x,x,x,x
Ven bờ khu đô thị CENCO 5,NB5,Quý 3 2021,31.1,8.16,5.98,27.4,12.28,0.9,11.6,0.187,0.01,0.0005,0.697,0.15,1.5,0.002,0.00025,0.00045,0.0001,0.0509,0.0046,0.00045,0.0048,0.0021,0.0025,0.002,x,x,x,x,x
Ven bờ khu đô thị CENCO 5,NB5,Quý 4 2021,25.5,8.1,6.03,28.8,8.35,0.8,7.6,0.196,0.01,0.0005,0.846,0.15,1.5,0.0027,0.00025,0.00045,0.0001,0.0245,0.0029,0.00045,0.0082,0.0015,0.0025,0.002,x,x,x,x,x
Ven bờ khu đô thị CENCO 5,NB5,Quý 1 2022,23.2,8,6.0,28.7,9.98,0.9,8.2,0.147,0.01,0.0005,0.751,0.15,1.5,0.0016,0.00025,0.00045,0.0001,0.0157,0.0004,0.00045,0.0109,0.00045,0.0025,0.002,x,x,x,x,x
Ven bờ khu đô thị CENCO 5,NB5,Quý 2 2022,24.3,8.02,5.99,28.5,12.48,0.7,11.5,0.126,0.01,0.0005,0.628,0.15,1.5,0.0029,0.00025,0.00045,0.0001,0.0634,0.0048,0.00045,0.0113,0.00045,0.0025,0.002,x,x,x,x,x
Ven bờ khu đô thị CENCO 5,NB5,Quý 3 2022,29.6,8.09,5.92,28.4,14.66,0.6,13.2,0.165,0.01,0.0005,0.674,0.15,1.5,0.0025,0.00025,0.00045,0.0001,0.0569,0.0035,0.00045,0.0129,0.00045,0.0025,0.002,x,x,x,x,x
Ven bờ khu đô thị CENCO 5,NB5,Quý 4 2022,26.3,8.08,5.9,28.3,14.18,0.7,13.7,0.154,0.01,0.0005,0.652,0.15,1.5,0.0025,0.00025,0.00045,0.0001,0.0463,0.0065,0.00045,0.0104,0.00045,0.0025,0.002,x,x,x,x,x
Ven bờ khu đô thị CENCO 5,NB5,Quý 1 2023,23.7,8.02,6.06,28.8,9.98,0.8,8.2,0.136,0.01,0.0005,0.705,0.15,1.5,0.0022,0.00025,0.00045,0.0001,0.0558,0.0068,0.00045,0.0114,0.00045,0.0025,0.002,x,x,x,x,x
Ven bờ khu đô thị CENCO 5,NB5,Quý 2 2023,26.1,8,5.89,28.3,12.86,0.6,10.7,0.145,0.01,0.0005,0.829,0.15,1.5,0.0027,0.00025,0.00045,0.0001,0.0725,0.006,0.00045,0.0104,0.00045,0.0025,0.002,x,x,x,x,x
Ven bờ khu đô thị CENCO 5,NB5,Quý 3 2023,28.5,8.06,5.85,28.3,14.87,0.6,13.4,0.154,0.01,0.0005,0.799,0.15,1.5,0.002,0.00025,0.00045,0.0001,0.0658,0.0043,0.00045,0.0123,0.00045,0.0025,0.002,x,x,x,x,x
Ven bờ khu đô thị CENCO 5,NB5,Quý 4 2023,25.7,8.07,5.81,28.4,14.74,0.5,12.5,0.092,0.01,0.0005,0.797,0.15,1.5,0.0025,0.00025,0.00045,0.0001,0.0817,0.0092,0.00045,0.0127,0.00045,0.0025,0.002,x,x,x,x,x
Ven bờ khu đô thị CENCO 5,NB5,Quý 1 2024,20.6,8,6.01,28.7,9.89,0.9,8.5,0.085,0.01,0.0015,0.794,0.15,1.0,0.0022,0.0001,0.0001,0.0001,0.1056,0.0121,0.0005,0.0122,0.0007,0.0035,0.0002,x,x,x,x,x
Ven bờ khu đô thị CENCO 5,NB5,Quý 2 2024,26.0,8.03,5.74,28.1,12.71,0.7,11.3,0.072,0.01,0.0015,0.783,0.15,1.0,0.0014,0.0001,0.0001,0.0001,0.1186,0.0098,0.0005,0.0068,0.0003,0.0035,0.0002,x,x,x,x,x
Ven bờ khu đô thị CENCO 5,NB5,Quý 3 2024,27.0,8.1,5.77,28.3,14.89,0.5,12.7,0.087,0.039,0.0015,0.826,0.15,1.0,0.0023,0.0001,0.0001,0.0001,0.1447,0.037,0.00015,0.0221,0.0001,0.0035,0.0002,x,x,x,x,x
Ven bờ khu đô thị CENCO 5,NB5,Quý 4 2024,24.2,8.12,5.74,28.9,12.23,0.7,10.6,0.076,0.01,0.0015,0.865,0.15,1.0,0.0024,0.0001,0.0001,0.0001,0.161,0.0075,0.00015,0.0379,0.0002,0.0035,0.0002,x,x,x,x,x
Cửa sông Trới ven bờ KCN Việt Hưng,NB6,Quý 1 2021,22.9,7.7,5.74,25.8,28.1,0.5,26.5,0.127,0.01,0.0005,0.707,0.15,90.0,0.0009,0.00025,0.00045,0.0001,0.0215,0.0004,0.00045,0.0094,0.001,0.0025,0.002,x,x,x,x,x
Cửa sông Trới ven bờ KCN Việt Hưng,NB6,Quý 2 2021,30.5,7.62,5.07,27.2,26.78,0.4,25.4,0.015,0.01,0.0005,0.718,0.15,40.0,0.0042,0.00025,0.00045,0.0002,0.0536,0.004,0.0024,0.0083,0.0057,0.0025,0.002,x,x,x,x,x
Cửa sông Trới ven bờ KCN Việt Hưng,NB6,Quý 3 2021,31.4,7.54,5.01,27.1,35.54,0.4,34.2,0.037,0.021,0.0005,0.73,0.15,1.5,0.0036,0.00025,0.00045,0.0001,0.0634,0.0055,0.00045,0.0115,0.0028,0.0025,0.002,x,x,x,x,x
Cửa sông Trới ven bờ KCN Việt Hưng,NB6,Quý 4 2021,25.3,7.65,5.48,27.3,10.65,0.5,9.5,0.015,0.01,0.0005,0.807,0.15,1.5,0.0031,0.00025,0.00045,0.0002,0.0381,0.0032,0.00045,0.0101,0.0021,0.0025,0.002,x,x,x,x,x
Cửa sông Trới ven bờ KCN Việt Hưng,NB6,Quý 1 2022,23.0,7.96,5.96,27.4,11.54,0.5,10.6,0.134,0.01,0.0005,0.693,0.15,70.0,0.0012,0.00025,0.00045,0.0001,0.0236,0.0004,0.00045,0.0065,0.00045,0.0025,0.002,x,x,x,x,x
Cửa sông Trới ven bờ KCN Việt Hưng,NB6,Quý 2 2022,24.0,7.93,5.91,27.2,19.8,0.5,17.3,0.148,0.01,0.0005,0.699,0.15,90.0,0.0035,0.00025,0.00045,0.0001,0.0817,0.0136,0.00045,0.0128,0.00045,0.0025,0.002,x,x,x,x,x
Cửa sông Trới ven bờ KCN Việt Hưng,NB6,Quý 3 2022,29.1,7.89,5.88,27.1,20.22,0.5,19.4,0.044,0.01,0.0005,0.661,0.15,1.5,0.0031,0.00025,0.00045,0.0001,0.0676,0.0111,0.00045,0.0095,0.00045,0.0025,0.002,x,x,x,x,x
Cửa sông Trới ven bờ KCN Việt Hưng,NB6,Quý 4 2022,26.6,7.85,5.82,26.9,20.88,0.5,18.2,0.127,0.01,0.0005,0.677,0.15,150.0,0.0031,0.00025,0.00045,0.0001,0.1244,0.0153,0.00045,0.0117,0.00045,0.0025,0.002,x,x,x,x,x
Cửa sông Trới ven bờ KCN Việt Hưng,NB6,Quý 1 2023,23.8,7.92,5.86,27.5,11.54,0.6,10.7,0.104,0.01,0.0005,0.822,0.15,1.5,0.0026,0.00025,0.00045,0.0001,0.1405,0.0132,0.00045,0.0128,0.00045,0.0025,0.002,x,x,x,x,x
