Station,Station_Name,Quarter,DO,Temperature,pH,Salinity,NH3,PO4,TSS,Coliform,Transparency,COD,CN,As,Cd,Pb,Cu,Hg,Zn,Total_Cr,X,Y,H2S,BOD5,Alkalinity
NB2,Cảng B12- vịnh Cửa Lục,2021-07-01,6.16,31.7,8.01,27.7,0.015,0.01,8.2,1.5,1.2,127.56707566991574,0.0005,0.0025,0.0001,0.00045,0.00045,0.00025,0.0077,0.001,2319163,428365,0.0515079185877494,47.63453487329192,155.1380120522909
NB2,Cảng B12- vịnh Cửa Lục,2021-10-01,6.28,25.2,8.03,29.4,0.015,0.01,8.7,1.5,1.4,72.65135570313606,0.0005,0.0033,0.0001,0.00045,0.00045,0.00025,0.0078,0.00045,2319163,428365,0.0367810005366924,30.38133029617269,118.00296356054989
NB2,Cảng B12- vịnh Cửa Lục,2022-01-01,6.18,22.3,8.05,29.3,0.015,0.01,8.1,1.5,1.5,66.94331126533493,0.0005,0.0018,0.0001,0.00045,0.00045,0.00025,0.0093,0.00045,2319163,428365,0.0350240618930979,28.458916910928245,112.60550545818958
NB2,Cảng B12- vịnh Cửa Lục,2022-04-01,6.11,23.4,8.06,29.2,0.015,0.01,8.1,1.5,1.3,49.55233876325829,0.0005,0.0026,0.0001,0.00045,0.00045,0.00025,0.0096,0.00045,2319163,428365,0.0292562901836145,22.379684586603304,92.76281822384234
NB2,Cảng B12- vịnh Cửa Lục,2022-07-01,6.15,28.9,8.03,29.0,0.015,0.01,8.3,1.5,1.2,157.16562708067448,0.0005,0.0022,0.0001,0.00045,0.00045,0.00025,0.0114,0.00045,2319163,428365,0.0583552462281834,56.274681397073046,168.9016535469612
NB2,Cảng B12- vịnh Cửa Lục,2022-10-01,6.11,26.5,8.01,28.8,0.015,0.01,7.6,1.5,1.0,68.18605798640678,0.0005,0.0021,0.0001,0.00045,0.00045,0.00025,0.0103,0.00045,2319163,428365,0.035411551916153,28.88018087818926,113.81882071724792
NB2,Cảng B12- vịnh Cửa Lục,2023-01-01,6.12,22.8,8.03,29.2,0.015,0.01,8.9,1.5,1.3,57.75488529908096,0.0005,0.0023,0.0001,0.00045,0.00045,0.00025,0.0094,0.00045,2319163,428365,0.032063617400396,25.292818329300182,102.86688711347573
NB2,Cảng B12- vịnh Cửa Lục,2023-04-01,6.05,24.7,8.03,29.0,0.036,0.01,7.9,1.5,1.1,60.48602738748672,0.0005,0.0024,0.0001,0.00045,0.00045,0.00025,0.0083,0.00045,2319163,428365,0.0329621610355075,26.243832115370367,105.91465798047082
NB2,Cảng B12- vịnh Cửa Lục,2023-07-01,6.07,27.4,8.06,28.9,0.015,0.01,7.6,1.5,1.1,103.41409282898438,0.0005,0.0015,0.0001,0.00045,0.00045,0.00025,0.0109,0.00045,2319163,428365,0.0454302512869343,40.28093195798455,141.29236742213396
NB2,Cảng B12- vịnh Cửa Lục,2023-10-01,6.11,25.0,8.07,29.0,0.015,0.01,8.5,1.5,1.2,93.46188554768344,0.0005,0.0021,0.0001,0.00045,0.00045,0.00025,0.0093,0.00045,2319163,428365,0.0427620259880405,37.15299445838984,134.61776257456313
NB2,Cảng B12- vịnh Cửa Lục,2024-01-01,6.14,20.2,8.01,29.1,0.034,0.01,8.4,1.0,1.2,96.18078869154414,0.0015,0.0018,0.0001,0.0001,0.0005,0.0001,0.0089,0.0008,2319163,428365,0.0435018582532208,38.013911408432506,136.50930446383953
NB2,Cảng B12- vịnh Cửa Lục,2024-04-01,6.12,24.5,8.02,28.9,0.046,0.01,8.2,1.0,1.0,97.24158930910431,0.0015,0.0016,0.0001,0.0001,0.0005,0.0001,0.0072,0.0009,2319163,428365,0.0437882247654379,38.348471585384985,137.2328401203153
NB2,Cảng B12- vịnh Cửa Lục,2024-07-01,6.18,26.7,8.06,28.9,0.01,0.049,7.2,1.0,1.0,220.0,0.0015,0.0017,0.0001,0.0001,0.00015,0.0001,0.0127,0.0001,2319163,428365,0.06,60.0,200.0
NB2,Cảng B12- vịnh Cửa Lục,2024-10-01,6.04,24.8,8.05,29.1,0.01,0.01,8.2,1.0,1.4,58.5274534671971,0.0015,0.002,0.0001,0.0001,0.0023,0.0001,0.0416,0.0003,2319163,428365,0.0323194916501615,25.562735119418537,103.74339934461536
NB3,Cảng Cái Lân- vịnh Cửa Lục,2021-01-01,6.31,22.5,8.09,29.4,0.015,0.01,11.6,1.5,0.9,54.889478180740994,0.0005,0.0009,0.0001,0.0015,0.00045,0.00025,0.0087,0.0015,2320268,427607,0.0311023424584773,24.285268153927493,99.51029083713853
NB3,Cảng Cái Lân- vịnh Cửa Lục,2021-04-01,5.28,31.1,8.09,29.4,0.015,0.01,9.3,1.5,1.3,45.71712410515742,0.0005,0.004,0.0001,0.00045,0.0013,0.00025,0.0063,0.0012,2320268,427607,0.027879949828007,20.98485304787832,87.44909087008489
NB3,Cảng Cái Lân- vịnh Cửa Lục,2021-07-01,6.03,31.9,8.05,27.5,0.015,0.01,10.5,1.5,1.1,108.79649755881238,0.0005,0.0027,0.0001,0.00045,0.00045,0.00025,0.0104,0.0009,2320268,427607,0.0468302001564773,41.94714013128126,144.63917690301983
NB3,Cảng Cái Lân- vịnh Cửa Lục,2021-10-01,6.08,25.1,8.06,29.4,0.015,0.01,6.2,1.5,1.1,148.4962394934695,0.0005,0.0029,0.0001,0.00045,0.00045,0.00025,0.0076,0.00045,2320268,427607,0.0564078615540181,53.78084862949899,165.15889170883565
NB3,Cảng Cái Lân- vịnh Cửa Lục,2022-01-01,6.14,22.6,8.04,29.3,0.015,0.01,6.9,1.5,1.4,69.88487064952254,0.0005,0.001,0.0001,0.00045,0.00045,0.00025,0.0078,0.00045,2320268,427607,0.0359366833746466,29.453553704307566,115.442101693805
NB3,Cảng Cái Lân- vịnh Cửa Lục,2022-04-01,6.17,23.7,8.03,29.2,0.015,0.01,6.3,1.5,1.1,44.99150734471389,0.0005,0.0033,0.0001,0.00045,0.00045,0.00025,0.0057,0.00045,2320268,427607,0.0276144031249193,20.718352788575604,86.39374092149887
NB3,Cảng Cái Lân- vịnh Cửa Lục,2022-07-01,6.22,29.2,8.01,29.1,0.015,0.01,6.4,1.5,1.0,45.421214429774,0.0005,0.0028,0.0001,0.00045,0.00045,0.00025,0.0089,0.00045,2320268,427607,0.0277718647228336,20.876276580924326,87.02075137235042
NB3,Cảng Cái Lân- vịnh Cửa Lục,2022-10-01,6.16,26.4,8.03,29.0,0.015,0.01,8.2,1.5,1.0,111.10423292580252,0.0005,0.0028,0.0001,0.00045,0.00045,0.00025,0.0086,0.00045,2320268,427607,0.0474218816779526,42.65642372108082,146.02371151298803
NB3,Cảng Cái Lân- vịnh Cửa Lục,2023-01-01,6.05,23.0,8.06,29.4,0.032,0.01,6.3,1.5,1.2,117.52592538379103,0.0005,0.0025,0.0001,0.00045,0.00045,0.00025,0.0081,0.00045,2320268,427607,0.0490428912405058,44.61479260362237,149.73016684813769
NB3,Cảng Cái Lân- vịnh Cửa Lục,2023-04-01,6.11,25.4,8.0,29.1,0.015,0.01,8.7,1.5,1.0,104.09643607167878,0.0005,0.0028,0.0001,0.00045,0.00045,0.00025,0.0066,0.00045,2320268,427607,0.0456093207172548,40.49311041819614,141.7261707322078
NB3,Cảng Cái Lân- vịnh Cửa Lục,2023-07-01,6.16,28.0,8.04,29.0,0.036,0.01,6.1,1.5,1.0,50.01785779306322,0.0005,0.0022,0.0001,0.00045,0.00045,0.00025,0.0085,0.00045,2320268,427607,0.0294203881159053,22.54748166608537,93.37961170845225
NB3,Cảng Cái Lân- vịnh Cửa Lục,2023-10-01,6.19,25.3,8.06,29.1,0.044,0.01,6.2,1.5,1.0,86.20521182460442,0.0005,0.0023,0.0001,0.00045,0.00045,0.00025,0.0075,0.00045,2320268,427607,0.0407438215406665,34.82998745173989,129.2864529226688
NB3,Cảng Cái Lân- vịnh Cửa Lục,2024-01-01,6.07,19.9,8.05,29.3,0.041,0.01,6.3,1.0,1.1,80.37522022083911,0.0015,0.002,0.0001,0.0001,0.0005,0.0001,0.0072,0.0006,2320268,427607,0.0390724357493434,32.93511331916909,124.66743236562913
NB3,Cảng Cái Lân- vịnh Cửa Lục,2024-04-01,6.03,25.1,8.02,29.0,0.036,0.01,6.3,1.0,1.0,85.5037927113769,0.0015,0.0013,0.0001,0.0001,0.0005,0.0001,0.0063,0.0004,2320268,427607,0.0405451912820711,34.603408294776955,128.74754386916052
NB3,Cảng Cái Lân- vịnh Cửa Lục,2024-07-01,6.24,26.3,8.07,29.0,0.032,0.01,5.5,1.0,0.9,127.02506587381396,0.0015,0.0022,0.0001,0.0001,0.00015,0.0001,0.0269,0.0001,2320268,427607,0.0513768974609316,47.47278554850766,154.8571511179276
NB3,Cảng Cái Lân- vịnh Cửa Lục,2024-10-01,6.12,24.2,8.02,29.2,0.037,0.01,5.4,1.0,1.2,85.75859594966025,0.0015,0.0014,0.0001,0.0001,0.0082,0.0001,0.0459,0.0004,2320268,427607,0.0406174227864146,34.68576037314023,128.94382195098729
NB4,Khu Hòn Gạc- vịnh Cửa Lục,2021-01-01,6.81,22.3,8.12,29.3,0.015,0.01,12.3,1.5,1.1,113.02879433519504,0.0005,0.0013,0.0001,0.00045,0.00045,0.00025,0.0159,0.001,2320452,429685,0.0479115539324407,43.245673866757485,147.15654252287578
NB4,Khu Hòn Gạc- vịnh Cửa Lục,2021-04-01,6.96,31.3,8.13,29.1,0.015,0.01,8.5,1.5,1.1,78.01705376997225,0.0005,0.0036,0.0001,0.00045,0.00045,0.00025,0.0027,0.00045,2320452,429685,0.038382611785512,32.16087889629565,122.70316277955564
NB4,Khu Hòn Gạc- vịnh Cửa Lục,2021-07-01,6.19,31.5,8.09,27.7,0.034,0.01,8.7,1.5,1.0,89.23471935659512,0.0005,0.0022,0.0001,0.00045,0.00045,0.00025,0.0053,0.00045,2320452,429685,0.0415943720894432,35.80439698670498,131.56477594759937
NB4,Khu Hòn Gạc- vịnh Cửa Lục,2021-10-01,6.19,25.4,8.16,29.0,0.015,0.01,9.7,1.5,0.7,109.81119136347108,0.0005,0.0026,0.0001,0.00045,0.00045,0.00025,0.0033,0.00045,2320452,429685,0.0470909731242662,42.25937582922125,145.2515290335416
NB4,Khu Hòn Gạc- vịnh Cửa Lục,2022-01-01,6.05,22.8,8.01,29.1,0.015,0.01,9.5,1.5,0.8,30.94846498558504,0.0005,0.0014,0.0001,0.00045,0.00045,0.00025,0.0126,0.00045,2320452,429685,0.0220768711573978,15.365569888942144,61.713767205773344
NB4,Khu Hòn Gạc- vịnh Cửa Lục,2022-04-01,6.01,23.9,8.0,29.0,0.015,0.01,10.4,1.5,0.7,61.688507399919374,0.0005,0.0024,0.0001,0.00045,0.00045,0.00025,0.0085,0.00045,2320452,429685,0.0333525916048298,26.65979429079193,107.21315134570794
NB4,Khu Hòn Gạc- vịnh Cửa Lục,2022-07-01,6.06,29.4,8.05,28.9,0.047,0.01,10.7,1.5,0.5,56.30097320820163,0.0005,0.0019,0.0001,0.00045,0.00045,0.00025,0.0107,0.00045,2320452,429685,0.0315783215895572,24.78287468628629,101.1850938282882
NB4,Khu Hòn Gạc- vịnh Cửa Lục,2022-10-01,6.02,26.8,8.09,28.8,0.015,0.01,10.6,1.5,0.4,50.83218620854242,0.0005,0.0018,0.0001,0.00045,0.00045,0.00025,0.0069,0.00045,2320452,429685,0.0297059749661739,22.840255049134893,94.44488607026632
NB4,Khu Hòn Gạc- vịnh Cửa Lục,2023-01-01,6.12,23.3,8.03,29.0,0.015,0.01,9.2,1.5,0.9,63.376945044132974,0.0005,0.0016,0.0001,0.00045,0.00045,0.00025,0.0055,0.00045,2320452,429685,0.0338956834021304,27.24111995740932,108.99430995093265
NB4,Khu Hòn Gạc- vịnh Cửa Lục,2023-04-01,6.04,25.6,8.01,28.9,0.052,0.01,6.3,1.5,0.6,185.39420579941927,0.0005,0.0022,0.0001,0.00045,0.00045,0.00025,0.0097,0.00045,2320452,429685,0.06,60.0,179.79765244937585
NB4,Khu Hòn Gạc- vịnh Cửa Lục,2023-07-01,6.11,28.2,8.02,28.8,0.063,0.01,10.2,1.5,0.6,44.29645115566713,0.0005,0.0016,0.0001,0.00045,0.00045,0.00025,0.0102,0.00045,2320452,429685,0.0273584218532593,20.462264803743945,85.36675537227026
NB4,Khu Hòn Gạc- vịnh Cửa Lục,2023-10-01,6.15,25.5,8.03,28.9,0.071,0.01,9.3,1.5,0.6,134.70865353917486,0.0005,0.0018,0.0001,0.00045,0.00045,0.00025,0.0122,0.00045,2320452,429685,0.0532138815562429,49.75311530471178,158.73113418365924
NB4,Khu Hòn Gạc- vịnh Cửa Lục,2024-01-01,6.06,19.8,8.04,29.1,0.056,0.01,9.2,1.0,0.9,26.98954989082138,0.0015,0.0017,0.0001,0.0001,0.0005,0.0001,0.0117,0.0012,2320452,429685,0.020341360098827,13.77406586629118,52.68520913536781
NB4,Khu Hòn Gạc- vịnh Cửa Lục,2024-04-01,6.0,25.3,8.0,28.8,0.066,0.01,10.2,1.0,0.7,61.12200467075392,0.0015,0.0018,0.0001,0.0001,0.0005,0.0001,0.0087,0.001,2320452,429685,0.0331690397340741,26.464034676779026,106.604598800569
NB4,Khu Hòn Gạc- vịnh Cửa Lục,2024-07-01,6.09,26.9,8.09,28.8,0.045,0.042,10.2,1.0,0.5,82.65218424726861,0.0015,0.0021,0.0001,0.0001,0.00015,0.0001,0.0123,0.0001,2320452,429685,0.0397308290199159,33.678361774858786,126.51012260420022
NB4,Khu Hòn Gạc- vịnh Cửa Lục,2024-10-01,6.02,23.9,8.06,29.0,0.048,0.01,8.2,1.0,0.7,106.85089398992618,0.0015,0.0015,0.0001,0.0001,0.0018,0.0001,0.0186,0.0003,2320452,429685,0.0463274367528859,41.34680467900711,143.44889325437111
NB5,Ven bờ khu đô thị CENCO 5,2021-01-01,6.22,22.7,8.02,28.9,0.173,0.01,9.7,1.5,0.8,115.26540264972353,0.0005,0.0012,0.0001,0.00045,0.00045,0.00025,0.0112,0.00045,2319397,429449,0.0484764315560465,43.927936007323645,148.4490631917142
NB5,Ven bờ khu đô thị CENCO 5,2021-04-01,6.38,30.4,8.06,28.9,0.221,0.021,10.6,1.5,0.9,121.15073845272254,0.0005,0.0037,0.0001,0.00045,0.0014,0.00025,0.0068,0.0026,2319397,429449,0.0499421697964856,45.71067540323658,151.733889407997
NB5,Ven bờ khu đô thị CENCO 5,2021-07-01,5.98,31.1,8.16,27.4,0.187,0.01,11.6,1.5,0.9,60.61117597073829,0.0005,0.002,0.0001,0.00045,0.00045,0.00025,0.0048,0.0021,2319397,429449,0.0330029397597989,26.28720057227827,106.0509971100625
NB5,Ven bờ khu đô thị CENCO 5,2021-10-01,6.03,25.5,8.1,28.8,0.196,0.01,7.6,1.5,0.8,56.575481191999984,0.0005,0.0027,0.0001,0.00045,0.00045,0.00025,0.0082,0.0015,2319397,429449,0.0316703307204508,24.879356244098457,101.50592829341733
NB5,Ven bờ khu đô thị CENCO 5,2022-01-01,6.0,23.2,8.0,28.7,0.147,0.01,8.2,1.5,0.9,125.99302611691164,0.0005,0.0016,0.0001,0.00045,0.00045,0.00025,0.0109,0.00045,2319397,429449,0.0511267976282934,47.164414387090254,154.31903525028616
NB5,Ven bờ khu đô thị CENCO 5,2022-04-01,5.99,24.3,8.02,28.5,0.126,0.01,11.5,1.5,0.7,66.6823123158182,0.0005,0.0029,0.0001,0.00045,0.00045,0.00025,0.0113,0.00045,2319397,429449,0.034942315943741,28.37024488805008,112.3478270047354
NB5,Ven bờ khu đô thị CENCO 5,2022-07-01,5.92,29.6,8.09,28.4,0.165,0.01,13.2,1.5,0.6,34.548601630354845,0.0005,0.0025,0.0001,0.00045,0.00045,0.00025,0.0129,0.00045,2319397,429449,0.0235789829834149,16.777485834686402,68.97254706648312
NB5,Ven bờ khu đô thị CENCO 5,2022-10-01,5.9,26.3,8.08,28.3,0.154,0.01,13.7,1.5,0.7,37.66451272180792,0.0005,0.0025,0.0001,0.00045,0.00045,0.00025,0.0104,0.00045,2319397,429449,0.0248289135081507,17.975679661325284,74.66851143986077
NB5,Ven bờ khu đô thị CENCO 5,2023-01-01,6.06,23.7,8.02,28.8,0.136,0.01,8.2,1.5,0.8,42.87927109568294,0.0005,0.0022,0.0001,0.00045,0.00045,0.00025,0.0114,0.00045,2319397,429449,0.0268314352950605,19.937591109174708,83.22190855993554
NB5,Ven bờ khu đô thị CENCO 5,2023-04-01,5.89,26.1,8.0,28.3,0.145,0.01,10.7,1.5,0.6,101.23323595204464,0.0005,0.0027,0.0001,0.00045,0.00045,0.00025,0.0104,0.00045,2319397,429449,0.0448547125583587,39.60088155720005,139.88642976215056
NB5,Ven bờ khu đô thị CENCO 5,2023-07-01,5.85,28.5,8.06,28.3,0.154,0.01,13.4,1.5,0.6,81.6396209705411,0.0005,0.002,0.0001,0.00045,0.00045,0.00025,0.0123,0.00045,2319397,429449,0.0394389541264881,33.348355376020706,125.6970294428226
NB5,Ven bờ khu đô thị CENCO 5,2023-10-01,5.81,25.7,8.07,28.4,0.092,0.01,12.5,1.5,0.5,113.82472598551816,0.0005,0.0025,0.0001,0.00045,0.00045,0.00025,0.0127,0.00045,2319397,429449,0.0481130847931896,43.48877594743927,147.61941416271074
NB5,Ven bờ khu đô thị CENCO 5,2024-01-01,6.01,20.6,8.0,28.7,0.085,0.01,8.5,1.0,0.9,57.79255318540925,0.0015,0.0022,0.0001,0.0001,0.0005,0.0001,0.0122,0.0007,2319397,429449,0.0320761247598169,25.30599535583757,102.90989414653863
NB5,Ven bờ khu đô thị CENCO 5,2024-04-01,5.74,26.0,8.03,28.1,0.072,0.01,11.3,1.0,0.7,82.44127719407874,0.0015,0.0014,0.0001,0.0001,0.0005,0.0001,0.0068,0.0003,2319397,429449,0.0396701533277339,33.60969202987699,126.34158764306856
NB5,Ven bờ khu đô thị CENCO 5,2024-07-01,5.77,27.0,8.1,28.3,0.087,0.039,12.7,1.0,0.5,109.43242830526091,0.0015,0.0023,0.0001,0.0001,0.00015,0.0001,0.0221,0.0001,2319397,429449,0.0469937459860908,42.142893222528926,145.02361575869347
NB5,Ven bờ khu đô thị CENCO 5,2024-10-01,5.74,24.2,8.12,28.9,0.076,0.01,10.6,1.0,0.7,62.075945583113615,0.0015,0.0024,0.0001,0.0001,0.00015,0.0001,0.0379,0.0002,2319397,429449,0.0334777351546936,26.793468424000206,107.62613841119048
NB6,Cửa sông Trới ven bờ KCN Việt Hưng,2021-01-01,5.74,22.9,7.7,25.8,0.127,0.01,26.5,90.0,0.5,98.78415556196605,0.0005,0.0009,0.0001,0.00045,0.00045,0.00025,0.0094,0.001,2322158,422550,0.0442024155481217,38.83366725674438,138.2710095022965
NB6,Cửa sông Trới ven bờ KCN Việt Hưng,2021-04-01,5.07,30.5,7.62,27.2,0.015,0.01,25.4,40.0,0.4,50.1266751565193,0.0005,0.0042,0.0002,0.00045,0.0024,0.00025,0.0083,0.0057,2322158,422550,0.0294586581907939,22.58665967417047,93.52296235733397
NB6,Cửa sông Trới ven bờ KCN Việt Hưng,2021-07-01,5.01,31.4,7.54,27.1,0.037,0.021,34.2,1.5,0.4,60.08680604938976,0.0005,0.0036,0.0001,0.00045,0.00045,0.00025,0.0115,0.0028,2322158,422550,0.0328318506146558,26.105366785450563,105.47784613739714
NB6,Cửa sông Trới ven bờ KCN Việt Hưng,2021-10-01,5.48,25.3,7.65,27.3,0.015,0.01,9.5,1.5,0.5,59.40986077695143,0.0005,0.0031,0.0002,0.00045,0.00045,0.00025,0.0101,0.0021,2322158,422550,0.0326100900070822,25.870152099376977,104.73048424006684
NB6,Cửa sông Trới ven bờ KCN Việt Hưng,2022-01-01,5.96,23.0,7.96,27.4,0.134,0.01,10.6,70.0,0.5,36.26257988788943,0.0005,0.0012,0.0001,0.00045,0.00045,0.00025,0.0065,0.00045,2322158,422550,0.0242718905399296,17.43915000945718,72.16641417643842
NB6,Cửa sông Trới ven bờ KCN Việt Hưng,2022-04-01,5.91,24.0,7.93,27.2,0.148,0.01,17.3,90.0,0.5,100.60972535451106,0.0005,0.0035,0.0001,0.00045,0.00045,0.00025,0.0128,0.00045,2322158,422550,0.0446892518356063,39.40591445739521,139.47889923142327
NB6,Cửa sông Trới ven bờ KCN Việt Hưng,2022-07-01,5.88,29.1,7.89,27.1,0.044,0.01,19.4,1.5,0.5,56.33411053451606,0.0005,0.0031,0.0001,0.00045,0.00045,0.00025,0.0095,0.00045,2322158,422550,0.0315894380555073,24.79452650426893,101.22390639189103
NB6,Cửa sông Trới ven bờ KCN Việt Hưng,2022-10-01,5.82,26.6,7.85,26.9,0.127,0.01,18.2,150.0,0.5,75.45404181420086,0.0005,0.0031,0.0001,0.00045,0.00045,0.00025,0.0117,0.00045,2322158,422550,0.0376232918921501,31.314028151481665,120.4997647491075
NB6,Cửa sông Trới ven bờ KCN Việt Hưng,2023-01-01,5.86,23.8,7.92,27.5,0.104,0.01,10.7,1.5,0.6,100.2306037334392,0.0005,0.0026,0.0001,0.00045,0.00045,0.00025,0.0128,0.00045,2322158,422550,0.0445884430438046,39.28724718484766,139.22986635623636
NB6,Cửa sông Trới ven bờ KCN Việt Hưng,2023-04-01,5.96,25.5,7.9,27.0,0.157,0.01,11.5,1.5,0.5,98.17240737444136,0.0005,0.0032,0.0001,0.00045,0.00045,0.00025,0.0111,0.00045,2322158,422550,0.0440384696824217,38.64143288729783,137.86124704119777
NB6,Cửa sông Trới ven bờ KCN Việt Hưng,2023-07-01,5.93,27.8,7.84,27.0,0.067,0.01,18.4,1.5,0.6,112.10533341008276,0.0005,0.0025,0.0001,0.00045,0.00045,0.00025,0.0091,0.00045,2322158,422550,0.0476770164808303,42.96318838274462,146.61540435891146
NB6,Cửa sông Trới ven bờ KCN Việt Hưng,2023-10-01,5.97,25.9,7.86,27.2,0.077,0.01,18.7,1.5,0.6,70.5432059353048,0.0005,0.0022,0.0001,0.00045,0.00045,0.00025,0.0102,0.00045,2322158,422550,0.0361388038437649,29.674994536300915,116.06058061962304
